tracker,model,dataset,batch_size,epochs_from,epochs_to,accuracy_from,accuracy_to,delta_accuracy,co2_from,co2_to,delta_co2_kg,incremental_AER
cumulator,SimpleNN,MNIST,32,3,3,0.9678,0.9753,0.007499999999999951,6.611232516500685e-06,7.223825767305162e-06,6.125932508044769e-07,12243.03400364061
cumulator,SimpleNN,MNIST,32,3,4,0.9753,0.9762,0.0009000000000000119,7.223825767305162e-06,8.41272261540095e-06,1.1888968480957877e-06,757.004277908137
cumulator,SimpleNN,MNIST,32,4,4,0.9762,0.9725,-0.0036999999999999256,8.41272261540095e-06,9.472803183396657e-06,1.0600805679957073e-06,-3490.300748551131
cumulator,SimpleNN,MNIST,32,4,4,0.9659,0.9654,-0.0004999999999999449,8.680430371231503e-06,9.430088686943056e-06,7.496583157115537e-07,-666.9705244653487
cumulator,SimpleNN,MNIST,32,4,4,0.9346,0.9626,0.028000000000000025,8.65751629140642e-06,8.693552568223741e-06,3.6036276817320766e-08,776994.8083688235
cumulator,SimpleNN,MNIST,32,4,4,0.9556,0.9717,0.016100000000000003,8.62157321770986e-06,8.730394650830163e-06,1.0882143312030308e-07,147948.7959159783
cumulator,SimpleNN,MNIST,32,4,5,0.9717,0.969,-0.0027000000000000357,8.730394650830163e-06,1.0837524015373651e-05,2.1071293645434884e-06,-1281.364137120738
cumulator,SimpleNN,MNIST,32,5,5,0.963,0.9759,0.012900000000000023,1.0323868963453505e-05,1.122129712369707e-05,8.974281602435658e-07,14374.40964243746
cumulator,SimpleNN,MNIST,64,1,1,0.9219,0.9343,0.012399999999999967,1.9303042186631097e-06,1.9655362327893574e-06,3.52320141262477e-08,351952.62909372017
cumulator,SimpleNN,MNIST,64,1,1,0.9343,0.9365,0.0021999999999999797,1.9655362327893574e-06,2.0731966389550104e-06,1.0766040616565295e-07,20434.624746027093
cumulator,SimpleNN,MNIST,64,1,2,0.9677,0.9622,-0.005499999999999949,1.967323757542505e-06,3.759979311625163e-06,1.7926555540826578e-06,-3068.0740577709157
cumulator,SimpleNN,MNIST,64,2,3,0.9622,0.9659,0.0036999999999999256,3.759979311625163e-06,5.283698495229085e-06,1.5237191836039224e-06,2428.268961770654
cumulator,SimpleNN,MNIST,64,3,3,0.9659,0.9383,-0.027599999999999958,5.283698495229085e-06,5.810352296299405e-06,5.266538010703198e-07,-52406.34349150886
cumulator,SimpleNN,MNIST,64,3,4,0.9383,0.9673,0.029000000000000026,5.810352296299405e-06,6.885857980781131e-06,1.0755056844817263e-06,26964.06017972354
cumulator,SimpleNN,MNIST,64,4,4,0.9673,0.9733,0.006000000000000005,6.885857980781131e-06,7.668539828724331e-06,7.826818479432e-07,7665.950112127081
cumulator,SimpleNN,MNIST,64,4,5,0.9691,0.9619,-0.007199999999999984,6.97900092071957e-06,8.596612681282892e-06,1.6176117605633217e-06,-4451.006215170342
cumulator,SimpleNN,MNIST,64,5,5,0.9619,0.9496,-0.012299999999999978,8.596612681282892e-06,8.698547885153028e-06,1.0193520387013634e-07,-120664.88840960147
cumulator,SimpleNN,MNIST,128,1,1,0.8813,0.9315,0.05020000000000002,1.7092674626244435e-06,1.7744775507185194e-06,6.521008809407591e-08,769819.5396942041
cumulator,SimpleNN,MNIST,128,1,2,0.9315,0.9725,0.041000000000000036,1.7744775507185194e-06,3.4596510807673137e-06,1.6851735300487943e-06,24329.838600546307
cumulator,SimpleNN,MNIST,128,2,3,0.9725,0.9755,0.0030000000000000027,3.4596510807673137e-06,5.081816523604923e-06,1.6221654428376094e-06,1849.379798617942
