tracker,trial,batch_size,learning_rate,hidden_size,epochs,accuracy,time_sec,energy_kwh,co2_kg
codecarbon,36,256,0.0034826805983045,,4,0.9722,7.519663095474243,3.852997759049758e-06,1.274255712877418e-06
codecarbon,37,256,0.0022830356369824,,2,0.9583,5.317840814590454,2.008881229629662e-06,6.643731825006626e-07
codecarbon,38,32,0.0013806312185768,,2,0.9683,6.393605947494507,2.8934433211174975e-06,9.569137882733366e-07
codecarbon,39,256,0.0007175491776969,,3,0.9445,6.404816150665283,2.9509602305671823e-06,9.759356655327174e-07
codecarbon,40,32,0.0008612806752612,,4,0.9747,9.722607135772703,5.722216098900471e-06,1.892439863796166e-06
codecarbon,41,128,0.0073342515769671,,2,0.9674,5.513696193695068,2.126530455370886e-06,7.032818991393487e-07
codecarbon,42,256,0.0001110751164645,,5,0.9161,8.580344200134277,4.838022992817051e-06,1.6000212881384696e-06
codecarbon,43,64,0.0010897965840877,,6,0.9757,11.579664945602415,7.521742589304521e-06,2.4875756656496127e-06
codecarbon,44,256,0.0080730530101943,,5,0.9767,8.602820873260498,5.6414438484523754e-06,1.8657270266724728e-06
codecarbon,45,64,0.0001358728560845,,4,0.9344,8.523422241210938,4.764269971854778e-06,1.5756298365518685e-06
codecarbon,46,32,0.0003356976879637,,4,0.9635,9.667301177978516,5.893723611937177e-06,1.9491604854926395e-06
codecarbon,47,256,0.0002748779267071,,5,0.9353,8.724371910095215,4.836573047916211e-06,1.5995417652607537e-06
codecarbon,48,256,0.0009062529271869,,2,0.9418,5.307823896408081,1.9871760187471778e-06,6.571948785680292e-07
codecarbon,49,128,0.0004763672888013,,5,0.9584,8.975073099136353,5.074058627811881e-06,1.67808252127269e-06
eco2ai,0,128,0.0077381174431891,256,4,0.9691,6.483269929885864,3.287982922188349e-07,1.1071098816617276e-07
eco2ai,1,64,0.0016067522785321,64,4,0.9682,6.678242921829224,3.43576476054371e-07,1.1568700955817149e-07
eco2ai,2,64,0.0044575646725415,64,3,0.9646,5.417115688323975,2.816924844622311e-07,9.484980321321568e-08
eco2ai,3,128,0.0001303086216288,64,3,0.9089,5.106026887893677,2.673346781830333e-07,9.001532882972187e-08
eco2ai,4,128,0.0001241457871572,256,4,0.9325,6.735248804092407,2.805093481837654e-07,9.44514246643484e-08
eco2ai,5,128,0.0008476949388451,256,2,0.9599,4.179225921630859,1.7884269898407488e-07,6.02188405457238e-08
eco2ai,6,32,0.0045671165164281,128,4,0.9687,8.557564973831177,3.4886675568183517e-07,1.1746832077265345e-07
eco2ai,7,32,0.0022696374739022,64,4,0.9668,8.723846197128296,3.560914118611436e-07,1.1990096365341308e-07
eco2ai,8,64,0.0029131339722007,64,5,0.9739,8.228410005569458,3.458808639569119e-07,1.1646292922638764e-07
eco2ai,9,128,0.0089396566970997,128,5,0.9699,7.616514921188355,3.2429873440302497e-07,1.0919592405578017e-07
eco2ai,10,64,0.0023094935044407,64,1,0.9533,3.0202219486236572,1.2811281579956813e-07,4.3137378659135787e-08
eco2ai,11,64,0.0062658062903724,256,5,0.9736,8.843674898147583,3.79813700340037e-07,1.2788859029629526e-07
eco2ai,12,64,0.0002792548596605,64,5,0.9478,8.109911918640137,3.4245499411326817e-07,1.1530939088785497e-07
eco2ai,13,128,0.0013892309622168,256,3,0.9752,5.472330093383789,2.361263276623049e-07,7.950704029248537e-08
eco2ai,14,64,0.0014447381271393,128,4,0.9734,7.0478129386901855,3.044664889394729e-07,1.025181293567657e-07
eco2ai,15,64,0.0002150738049871,64,4,0.939,6.943649768829346,3.002355652256483e-07,1.0109351810938896e-07
eco2ai,16,128,0.0003158133339029,64,2,0.9194,4.04544997215271,1.76663376724188e-07,5.948503223030824e-08
eco2ai,17,32,0.0002286501862785,256,3,0.9593,7.251698017120361,3.146132912972159e-07,1.0593469976585076e-07
eco2ai,18,128,0.000854042437999,64,1,0.9205,2.927327871322632,1.2729908135384e-07,4.286338287897688e-08
eco2ai,19,128,0.0013869169341426,128,3,0.9683,5.277724981307983,2.3209253669241057e-07,7.814880639984835e-08
