trial,model,dataset,device,batch_size,learning_rate,epochs,accuracy,time_sec,energy_kwh,co2_kg,tool,hidden_size,accuracy_pct,energy_wh,co2_g,relative_accuracy,aer_energy,aer_co2,aer_time,aer_relative
20,SimpleNN,MNIST,mps,256,0.0008123445182062,3,0.9504,4.434921979904175,8.722398e-06,2.507981494e-06,CarbonTracker,,95.04,0.008722398,0.002507981494,0.9691037014377485,10896.086145117433,37895.016461393396,21.429914760767343,111.1051916500197
21,SimpleNN,MNIST,mps,256,0.0038996974356306,3,0.9733,4.455245018005371,9.167447e-06,2.63594799e-06,CarbonTracker,,97.33000000000001,0.009167447,0.00263594799,0.9924543693280311,10616.91439285114,36924.09727704833,21.8461610094735,108.25853362752258
22,SimpleNN,MNIST,mps,256,0.0001799300104184,2,0.9039,2.9740989208221436,5.909645e-06,1.699220948e-06,CarbonTracker,,90.39,0.005909645,0.0016992209479999999,0.9216885897828081,15295.334998972021,53194.96567317507,30.3923986412036,155.96344446795166
23,SimpleNN,MNIST,mps,128,0.0012232737235011,3,0.9656,5.600570201873779,1.034873e-05,2.975606559e-06,CarbonTracker,,96.56,0.01034873,0.002975606559,0.9846028347099011,9330.613514895063,32450.52666924169,17.241101623490763,95.14238314362255
24,SimpleNN,MNIST,mps,256,0.0021407492702299,2,0.9566,3.330540895462036,6.253101e-06,1.79797605e-06,CarbonTracker,,95.66,0.006253101,0.00179797605,0.9754257163250738,15298.009739487656,53204.26821035797,28.72206137157471,155.9907182572413
25,SimpleNN,MNIST,mps,256,0.0004039213426537,6,0.9537,8.801692008972168,1.7449684e-05,5.017368854e-06,CarbonTracker,,95.37,0.017449684,0.005017368854,0.9724686448455184,5465.42848569636,19007.970666531346,10.835416633845268,55.729871374491275
26,SimpleNN,MNIST,mps,64,0.0002102402249535,3,0.9403,7.832332134246826,1.3354783e-05,3.839947555e-06,CarbonTracker,,94.03,0.013354783,0.003839947555,0.9588049352503313,7040.92309100043,24487.313603427585,12.005364224641902,71.79487193841571
27,SimpleNN,MNIST,mps,128,0.0002172337635895,5,0.9389,9.353344917297363,1.7259135e-05,4.9625794579999995e-06,CarbonTracker,,93.89,0.017259135000000002,0.004962579458,0.9573773835015804,5440.017706565247,18919.59630966578,10.03812014099544,55.470762787450255
28,SimpleNN,MNIST,mps,256,0.0023782669843599,4,0.971,5.932086944580078,1.1827468e-05,3.400793346e-06,CarbonTracker,,97.1,0.011827468,0.003400793346,0.9901091057407972,8209.703040414059,28552.161252082147,16.368607019274485,83.71268522906146
29,SimpleNN,MNIST,mps,256,0.0002420003762238,6,0.9392,8.866614818572998,1.752652e-05,5.03946167e-06,CarbonTracker,,93.92,0.01752652,0.00503946167,0.9576832874477413,5358.736360669432,18636.911271516823,10.592543143214558,54.64195330549027
30,SimpleNN,MNIST,mps,256,0.0022577892940052,4,0.9691,5.882700204849243,1.1541877e-05,3.3186761740000003e-06,CarbonTracker,,96.91,0.011541877,0.003318676174,0.9881717140817782,8396.381281831369,29201.40288445027,16.47372747639169,85.6162055861259
31,SimpleNN,MNIST,mps,256,0.0001689258460695,3,0.9129,4.390031814575195,8.597043e-06,2.471937848e-06,CarbonTracker,,91.29,0.008597043,0.002471937848,0.9308657081676354,10618.767406421022,36930.54017270745,20.794837909126578,108.27742843296646
32,SimpleNN,MNIST,mps,32,0.0040153094741313,4,0.9692,15.563512086868286,2.5719276e-05,7.395153327e-06,CarbonTracker,,96.92,0.025719276,0.007395153327,0.9882736820638319,3768.379794205716,13105.88107026006,6.2273861747295625,38.42540832268497
33,SimpleNN,MNIST,mps,128,0.0012240501392507,2,0.9557,3.7214488983154297,6.83598e-06,1.965573174e-06,CarbonTracker,,95.57,0.006835979999999999,0.001965573174,0.974508004486591,13980.438795900514,48621.94970106973,25.680857808704886,142.55571322423282
34,SimpleNN,MNIST,mps,256,0.0005624822953523,4,0.9492,5.866331100463867,1.2540317e-05,3.605761351e-06,CarbonTracker,,94.92,0.012540317,0.0036057613509999998,0.9678800856531049,7569.186648152515,26324.53752760855,16.18047095781798,77.18146882994304
35,SimpleNN,MNIST,mps,64,0.0001166681448521,5,0.9352,12.9492769241333,2.1715387e-05,6.243901146e-06,CarbonTracker,,93.52000000000001,0.021715387,0.006243901146,0.953604568165596,4306.623685776358,14977.815601694987,7.22202487041641,43.913772670300375
36,SimpleNN,MNIST,mps,256,0.0006501732843905,4,0.9541,5.8745551109313965,1.1504e-05,3.307785426e-06,CarbonTracker,,95.41,0.011504,0.003307785426,0.972876516773733,8293.636995827537,28844.07170128211,16.241229880107973,84.5685428349907
