trial,device,batch_size,learning_rate,epochs,channels,noise_factor,psnr,time_sec,energy_kwh,co2_kg,tool,noise_std,energy_wh,co2_g,relative_psnr,aer_energy,aer_co2,aer_time,aer_relative
6,mps,8,0.0008818394885786,1,32,,26.489681478881835,17.45635485649109,3.524167704612561e-07,1.186636604490914e-07,Eco2AI,0.0938485087890924,0.0003524167704612561,0.0001186636604490914,0.8736361016542613,75165.78011940567,223233.30814699022,1.51748069380199,2478.985607043655
7,mps,16,0.0007184033280908,2,32,,21.427333154296875,17.11272883415222,3.82981638098651e-07,1.2895527929074918e-07,Eco2AI,0.2524948618730173,0.00038298163809865097,0.00012895527929074918,0.7066786295898191,55948.721877829244,166160.96116534874,1.2521283637437128,1845.2023786262778
8,mps,32,0.0072753370353906,2,128,,11.226129336859852,56.50796580314636,1.247675677833513e-06,4.201098681860335e-07,Eco2AI,0.1738691559100068,0.001247675677833513,0.0004201098681860335,0.3702404605483678,8997.634189962819,26721.889169927057,0.19866454538405595,296.7441516462516
9,mps,16,0.0011379362280687,4,128,,25.738557510375976,109.7126407623291,2.4560001612371704e-06,8.269696382908125e-07,Eco2AI,0.1230383699660136,0.0024560001612371706,0.0008269696382908126,0.848863851514988,10479.868005143204,31123.94496558862,0.23459974467421224,345.62858134642244
10,mps,8,0.0052956612554586,4,64,,23.627620335388183,74.37174820899963,1.694614340900671e-06,5.706003731820286e-07,Eco2AI,0.1704936500525148,0.001694614340900671,0.0005706003731820286,0.7792446329576178,13942.771381735347,41408.35065288449,0.3176961803962144,459.83597220324293
11,mps,16,0.0003472992645121,2,64,,25.50576817932129,33.59657526016235,7.522074769978341e-07,2.532787884098487e-07,Eco2AI,0.120720262367437,0.0007522074769978341,0.0002532787884098487,0.8411864030771329,33907.88972361509,100702.34597793703,0.7591776239635097,1118.2904036455823
12,mps,32,0.000732118660922,1,32,,22.521945514618015,11.044435977935793,2.692039362534615e-07,9.064473419164805e-08,Eco2AI,0.1686652402385224,0.0002692039362534615,9.064473419164805e-05,0.7427792099631961,83661.27861300326,248463.9148149565,2.039211921696283,2759.169201983187
13,mps,8,0.005340015211084,3,64,,23.374758894348144,53.55244183540344,1.0901998841719282e-06,3.670855637990666e-07,Eco2AI,0.1741995181564718,0.0010901998841719282,0.00036708556379906664,0.770905201478043,21440.80111703797,63676.59532136463,0.4364835307826267,707.1228062582225
14,mps,8,0.0003750801461469,4,128,,23.152835563659668,137.3712601661682,2.7522540712485955e-06,9.267224773463996e-07,Eco2AI,0.2017779628882461,0.0027522540712485956,0.0009267224773463995,0.7635861163601877,8412.317672821568,24983.569655023453,0.16854206284235387,277.44027135321016
15,mps,32,0.002207877430219,1,64,,21.16015874235013,15.992916822433472,3.81656622483888e-07,1.2850912798303985e-07,Eco2AI,0.2477654995312312,0.000381656622483888,0.00012850912798303984,0.6978671528681755,55442.92302498544,164658.79953012185,1.3230956539878018,1828.5210101329671
